ID,Spanish,Portuguese
1,COMUN PELO LARGO,COMUN PELO LARGO
2,COMUN PELO CORTO,COMUN PELO CORTO
3,ABISINIO,ABISINIO
4,AMERICAN BOBTAIL,AMERICAN BOBTAIL
5,AMERICAN CURL,AMERICAN CURL
6,AMERICAN SHORTAIR,AMERICAN SHORTAIR
7,AMERICAN WIREHAIR,AMERICAN WIREHAIR
8,ANGORA TURCO,ANGORA TURCO
9,AZUL RUSO,AZUL RUSO
10,BALINES,BALINES
11,BENGAL,BENGAL
12,BOMBAY,BOMBAY
13,BOSQUE DE NORUEGA,BOSQUE DE NORUEGA
14,BOSQUE DE SIBERIA,BOSQUE DE SIBERIA
15,BRITISH SHORTHAIR,BRITISH SHORTHAIR
16,BURMESE,BURMESE
17,BURMILLA,BURMILLA
18,CALIFORNIA SPANGLED,CALIFORNIA SPANGLED
19,CEILAN,CEILAN
20,CHARTREUX,CHARTREUX
21,CORNISH REX,CORNISH REX
22,CYMRIC,CYMRIC
23,DEVON REX,DEVON REX
24,EXOTIC SHORTHAIR,EXOTIC SHORTHAIR
25,GERMAN REX,GERMAN REX
26,HABANA,HABANA
27,JAPANESE BOBTAIL,JAPANESE BOBTAIL
28,JAVANES,JAVANES
29,KORAT,KORAT
30,LA PERM,LA PERM
31,LINCE DOMESTICO,LINCE DOMESTICO
32,MAINE COON,MAINE COON
33,MANDARIN,MANDARIN
34,MANX,MANX
35,MAU EGIPCIO,MAU EGIPCIO
36,MUNCHKIN,MUNCHKIN
37,OCICAT,OCICAT
38,ORIENTAL SHORTHAIR,ORIENTAL SHORTHAIR
39,PERSA,PERSA
40,PERSA BICOLOR,PERSA BICOLOR
41,PERSA HIMALAYO,PERSA HIMALAYO
42,PERSA SMOKE (HUMO),PERSA SMOKE (HUMO)
43,PERSA TABBY,PERSA TABBY
44,PIXI BOB,PIXI BOB
45,RAGDOLL,RAGDOLL
46,SAGRADO DE BIRMANIA,SAGRADO DE BIRMANIA
47,SCOTTISH FOLD,SCOTTISH FOLD
48,SELKIRK REX,SELKIRK REX
49,SIAMES,SIAMES
50,SIBERIANO,SIBERIANO
51,SINGAPURA,SINGAPURA
52,SNOWSHOE,SNOWSHOE
53,SOKOKE,SOKOKE
54,SOMALI,SOMALI
55,SPHINX,SPHINX
56,TONKINES,TONKINES
57,VAN TURCO,VAN TURCO
58,YORK CHOCOLAT,YORK CHOCOLAT
59,PETERBOLD,PETERBOLD
313,EUROPEO,EUROPEO
