ID,Spanish,Portuguese
60,MESTIZO MINI,MESTIZO MINI
61,MESTIZO MEDIUM,MESTIZO MEDIUM
62,MESTIZO MAXI,MESTIZO MAXI
63,MESTIZO GIANT,MESTIZO GIANT
64,AFFENPINSCHER,AFFENPINSCHER
65,AGUA ESPAÑOL,AGUA ESPAÑOL
66,AGUA IRLANDES,AGUA IRLANDES
67,AGUA PORTUGUES,AGUA PORTUGUES
68,AIREDALE TERRIER,AIREDALE TERRIER
69,AKITA INU,AKITA INU
70,ALANO ESPAÑOL,ALANO ESPAÑOL
71,ALASKAN MALAMUTE,ALASKAN MALAMUTE
72,AMERICAN STAFFORDSHIRE TERRIER,AMERICAN STAFFORDSHIRE TERRIER
73,ANGLO FRANCAIS PETITE VENERIE,ANGLO FRANCAIS PETITE VENERIE
75,AUSTRALIAN CATTLE DOG,AUSTRALIAN CATTLE DOG
76,AZAWAKH,AZAWAKH
77,BASENJI,BASENJI
78,BASSET ARTESIEN NORMAND,BASSET ARTESIEN NORMAND
79,BASSET AZUL DE GASCUÑA,BASSET AZUL DE GASCUÑA
80,BASSET FAUVE DE BRETAGNE,BASSET FAUVE DE BRETAGNE
81,BASSET HOUND,BASSET HOUND
82,BEAGLE,BEAGLE
83,BEAGLE HARRIER,BEAGLE HARRIER
84,BEARDED COLLIE,BEARDED COLLIE
85,BEDLINGTON TERRIER,BEDLINGTON TERRIER
86,BICHON BOLOÑES,BICHON BOLOÑES
87,BICHON FRISE,BICHON FRISE
88,BICHON HABANERO,BICHON HABANERO
89,BICHON MALTES,BICHON MALTES
90,BOBTAIL,BOBTAIL
91,BORDER COLLIE,BORDER COLLIE
92,BORDER TERRIER,BORDER TERRIER
93,BORZOI,BORZOI
94,BOSTON TERRIER,BOSTON TERRIER
95,BOYERO DE BERNA,BOYERO DE BERNA
96,BOUVIER DE FLANDES,BOUVIER DE FLANDES
97,BOXER,BOXER
99,BRACO ALEMAN,BRACO ALEMAN
100,BRACO DE WEIMAR,BRACO DE WEIMAR
101,BRACO FRANCES TIPO GASCUÑA,BRACO FRANCES TIPO GASCUÑA
102,BRACO FRANCES TIPO PIRINEOS,BRACO FRANCES TIPO PIRINEOS
103,BRACO HUNGARO DE PELO CORTO,BRACO HUNGARO DE PELO CORTO
104,BRACO HUNGARO DE PELO DURO,BRACO HUNGARO DE PELO DURO
105,BRACO ITALIANO,BRACO ITALIANO
106,EPAGNEUL BRETON,EPAGNEUL BRETON
107,BRIQUET GRIFFON VENDEEN,BRIQUET GRIFFON VENDEEN
108,BULLDOG FRANCES,BULLDOG FRANCES
109,BULLDOG INGLES,BULLDOG INGLES
110,BULLMASTIFF,BULLMASTIFF
111,BULLTERRIER,BULLTERRIER
112,CAIRN TERRIER,CAIRN TERRIER
113,CANE CORSO,CANE CORSO
114,CANICHE TOY,CANICHE TOY
115,CAO DA SERRA DA ESTRELA,CAO DA SERRA DA ESTRELA
116,CAO DA SERRA DE AIRES,CAO DA SERRA DE AIRES
117,CARLINO,CARLINO
118,CAVALIER KING CHARLES SPANIEL,CAVALIER KING CHARLES SPANIEL
119,CESKY TERRIER,CESKY TERRIER
120,CHESAPEAKE BAY RETRIEVER,CHESAPEAKE BAY RETRIEVER
121,CHIEN DE SANT HUBERT(BLOODHOUN,CHIEN DE SANT HUBERT(BLOODHOUN
122,CHIHUAHUA,CHIHUAHUA
123,CHINESE CRESTD DOG,CHINESE CRESTD DOG
124,CHOW CHOW,CHOW CHOW
125,CIRNECO DELL'ETNA,CIRNECO DELL'ETNA
126,CLUMBER SPANIEL,CLUMBER SPANIEL
127,COCKER SPANIEL AMERICANO,COCKER SPANIEL AMERICANO
128,COCKER SPANIEL INGLES,COCKER SPANIEL INGLES
129,COTON DE TULEAR,COTON DE TULEAR
130,CURLY-COATED RETRIEVER,CURLY-COATED RETRIEVER
131,DALMATA,DALMATA
132,DANDIE DINMONT TERRIER,DANDIE DINMONT TERRIER
133,DEERHOUND,DEERHOUND
134,DEUTSCH DRAHTHAAR,DEUTSCH DRAHTHAAR
135,DOBERMANN,DOBERMANN
136,DOGO ALEMAN,DOGO ALEMAN
137,DOGO ARGENTINO,DOGO ARGENTINO
138,DOGO ARLEQUIN,DOGO ARLEQUIN
139,DOGO DE BURDEOS,DOGO DE BURDEOS
140,DOGO DEL TIBET,DOGO DEL TIBET
141,ENGLISH SPRINGER SPANIEL,ENGLISH SPRINGER SPANIEL
143,EPAGNEUL JAPONES,EPAGNEUL JAPONES
144,EPAGNEUL NAIN CONTINENTAL,EPAGNEUL NAIN CONTINENTAL
146,EURASIER,EURASIER
147,EUSKAL ARTZAIN TXAKURRA,EUSKAL ARTZAIN TXAKURRA
148,FILA BRASILEIRO,FILA BRASILEIRO
149,FINLANDES DE LAPONIA,FINLANDES DE LAPONIA
150,FLAT COATED RETRIEVER,FLAT COATED RETRIEVER
151,FOX TERRIER DE PELO DURO,FOX TERRIER DE PELO DURO
152,GALGO AFGANO,GALGO AFGANO
153,GALGO ESPAÑOL,GALGO ESPAÑOL
154,GALGO ITALIANO,GALGO ITALIANO
155,GOLDEN RETRIEVER,GOLDEN RETRIEVER
156,GOS D'ATURA CATALAN,GOS D'ATURA CATALAN
157,GRAN AZUL DE GASCUÑA,GRAN AZUL DE GASCUÑA
158,GRAN BOUVIER SUIZO,GRAN BOUVIER SUIZO
159,GRAN GRIFFON VENDEEN,GRAN GRIFFON VENDEEN
160,GRAN PERRO JAPONES,GRAN PERRO JAPONES
161,GRAND BASSET GRIFFON VENDEEN,GRAND BASSET GRIFFON VENDEEN
162,GRAND GASCON SAINTONGEOIS,GRAND GASCON SAINTONGEOIS
163,GREYHOUND,GREYHOUND
164,GRIFFON AZUL DE GASCUÑA,GRIFFON AZUL DE GASCUÑA
165,GRIFFON D'ARRET A POIL DUR,GRIFFON D'ARRET A POIL DUR
166,GRIFFON DE BRUSELAS,GRIFFON DE BRUSELAS
167,GRIFFON FAUVE DE BRETAGNE,GRIFFON FAUVE DE BRETAGNE
168,GRIFFON NIVERNAIS,GRIFFON NIVERNAIS
169,GRONLANDSHUND,GRONLANDSHUND
170,HOVAWART,HOVAWART
171,SIBERIAN HUSKY,SIBERIAN HUSKY
172,IRISH GLEN OF IMAAL TERRIER,IRISH GLEN OF IMAAL TERRIER
173,IRISH SOFT COATED WEATEN TERRI,IRISH SOFT COATED WEATEN TERRI
174,IRISH TERRIER,IRISH TERRIER
175,IRISH WOLFHOUND,IRISH WOLFHOUND
176,KELPIE,KELPIE
177,KERRY BLUE TERRIER,KERRY BLUE TERRIER
178,KING CHARLES SPANIEL,KING CHARLES SPANIEL
179,KLEINER MÜNSTERRLANDER VONSTEH,KLEINER MÜNSTERRLANDER VONSTEH
180,KOMONDOR,KOMONDOR
